,k=31
0.fa,1.0
53.fa,1.0
40.fa,1.0
8.fa,1.0
14.fa,1.0
15.fa,1.0
22.fa,1.0
62.fa,1.0
18.fa,1.0
2.fa,1.0
21.fa,1.0
12.fa,1.0
56.fa,1.0
54.fa,1.0
57.fa,1.0
52.fa,1.0
30.fa,1.0
36.fa,1.0
43.fa,1.0
28.fa,1.0
31.fa,1.0
48.fa,1.0
51.fa,1.0
29.fa,1.0
59.fa,0.998
11.fa,0.998
9.fa,0.998
37.fa,0.998
5.fa,0.998
41.fa,0.998
35.fa,0.996
25.fa,0.996
32.fa,0.994
38.fa,0.994
4.fa,0.994
42.fa,0.994
60.fa,0.994
61.fa,0.992
10.fa,0.992
39.fa,0.986
1.fa,0.978
13.fa,0.978
45.fa,0.976
47.fa,0.974
46.fa,0.974
27.fa,0.974
16.fa,0.97
33.fa,0.95
3.fa,0.95
63.fa,0.948
6.fa,0.938
50.fa,0.906
26.fa,0.906
7.fa,0.904
34.fa,0.882
24.fa,0.752
55.fa,0.728
44.fa,0.604
58.fa,0.59
19.fa,0.586
49.fa,0.572
17.fa,0.562
23.fa,0.538
20.fa,0.11
