,k=21,k=31,k=41,k=51
52.fa,1.0,1.0,1.0,1.0
62.fa,1.0,1.0,1.0,1.0
53.fa,1.0,1.0,1.0,1.0
48.fa,1.0,1.0,1.0,1.0
54.fa,1.0,1.0,1.0,1.0
25.fa,0.998,0.998,0.998,0.998
3.fa,0.998,0.998,0.998,0.998
34.fa,1.0,0.998,0.998,0.998
12.fa,1.0,1.0,0.998,0.998
56.fa,0.998,0.998,0.998,0.996
59.fa,1.0,0.998,0.996,0.996
41.fa,1.0,1.0,1.0,0.996
51.fa,0.998,0.998,0.998,0.996
40.fa,1.0,0.998,0.998,0.994
28.fa,0.998,0.998,0.998,0.994
22.fa,1.0,1.0,0.996,0.994
10.fa,1.0,1.0,0.994,0.994
42.fa,0.994,0.994,0.994,0.994
29.fa,1.0,1.0,0.996,0.994
8.fa,1.0,1.0,1.0,0.992
18.fa,1.0,1.0,0.996,0.99
13.fa,1.0,0.998,0.998,0.99
60.fa,1.0,0.998,0.996,0.99
1.fa,1.0,1.0,0.994,0.99
33.fa,0.994,0.99,0.99,0.99
39.fa,1.0,0.994,0.994,0.99
38.fa,0.998,0.992,0.992,0.988
21.fa,1.0,0.998,0.996,0.988
31.fa,1.0,0.996,0.992,0.986
0.fa,1.0,0.994,0.99,0.986
43.fa,0.984,0.984,0.984,0.984
15.fa,0.998,0.994,0.988,0.982
36.fa,1.0,0.996,0.992,0.98
11.fa,0.992,0.992,0.99,0.978
30.fa,0.998,0.998,0.988,0.978
61.fa,0.998,0.994,0.986,0.978
2.fa,0.996,0.986,0.976,0.966
57.fa,1.0,0.99,0.98,0.966
37.fa,0.996,0.982,0.974,0.964
14.fa,1.0,0.984,0.978,0.962
9.fa,0.99,0.978,0.964,0.936
50.fa,0.99,0.97,0.948,0.926
26.fa,0.998,0.954,0.926,0.888
49.fa,0.994,0.952,0.908,0.876
32.fa,0.996,0.922,0.9,0.848
4.fa,0.926,0.9,0.876,0.842
24.fa,0.926,0.886,0.868,0.836
46.fa,0.978,0.896,0.852,0.81
5.fa,0.926,0.888,0.854,0.808
45.fa,0.988,0.896,0.858,0.806
16.fa,0.982,0.878,0.834,0.796
35.fa,0.8376753507014028,0.8256513026052105,0.806,0.784
47.fa,0.986,0.866,0.83,0.754
6.fa,0.952,0.804,0.772,0.706
63.fa,0.962,0.778,0.73,0.658
55.fa,0.778,0.722,0.678,0.636
17.fa,0.818,0.716,0.654,0.564
19.fa,0.694,0.64,0.598,0.55
27.fa,0.6,0.558,0.544,0.52
58.fa,0.708,0.61,0.572,0.518
44.fa,0.704,0.602,0.556,0.512
23.fa,0.572,0.54,0.524,0.504
7.fa,0.788,0.594,0.544,0.502
20.fa,0.21,0.132,0.072,0.034
