,raw total sequences,filtered sequences,sequences,is sorted,1st fragments,last fragments,reads mapped,reads mapped and paired,reads unmapped,reads properly paired,reads paired,reads duplicated,reads MQ0,reads QC failed,non-primary alignments,total length,total first fragment length,total last fragment length,bases mapped,bases mapped (cigar),bases trimmed,bases duplicated,mismatches,error rate,average length,average first fragment length,average last fragment length,maximum length,maximum first fragment length,maximum last fragment length,average quality,insert size average,insert size standard deviation,inward oriented pairs,outward oriented pairs,pairs with other orientation,pairs on different chromosomes,percentage of properly paired reads (%)
SRR1509798,101441,0,101441,1,101441,0,101441,0,0,0,0,0,66,0,0,23497214,23497214,0,23497214,22933834,0,0,138629,6.044737e-03,231,232,0,251,251,0,36.3,0.0,0.0,0,0,0,0,0.0
SRR1509792,63653,0,63653,1,63653,0,63653,0,0,0,0,0,47,0,0,12508521,12508521,0,12508521,12136462,0,0,103237,8.506350e-03,196,197,0,251,251,0,35.2,0.0,0.0,0,0,0,0,0.0
SRR1509799,20014,0,20014,1,20014,0,20014,0,0,0,0,0,6,0,0,4865614,4865614,0,4865614,4802129,0,0,27401,5.706011e-03,243,243,0,251,251,0,36.3,0.0,0.0,0,0,0,0,0.0
SRR1509793,22495,0,22495,1,22495,0,22495,0,0,0,0,0,2,0,0,4374542,4374542,0,4374542,4295300,0,0,31768,7.395991e-03,194,194,0,251,251,0,35.7,0.0,0.0,0,0,0,0,0.0
SRR1509794,9827,0,9827,1,9827,0,9827,0,0,0,0,0,1,0,0,2010200,2010200,0,2010200,1976937,0,0,13912,7.037149e-03,204,205,0,251,251,0,35.7,0.0,0.0,0,0,0,0,0.0
ERR3256923,32130,0,32130,1,32130,0,32130,0,0,0,0,0,25,0,0,6378226,6378226,0,6378226,5050608,0,0,109241,2.162928e-02,198,199,0,200,200,0,25.9,0.0,0.0,0,0,0,0,0.0
SRR070081,9755,0,9755,1,9755,0,9755,0,0,0,0,0,8,0,0,3819722,3819722,0,3819722,3728057,0,0,29248,7.845374e-03,391,392,0,566,566,0,33.7,0.0,0.0,0,0,0,0,0.0
SRR070083,6115,0,6115,1,6115,0,6115,0,0,0,0,0,9,0,0,2674302,2674302,0,2674302,2526597,0,0,19303,7.639920e-03,437,437,0,612,612,0,34.1,0.0,0.0,0,0,0,0,0.0
SRR070084,3403,0,3403,1,3403,0,3403,0,0,0,0,0,2,0,0,1499935,1499935,0,1499935,1445223,0,0,10806,7.477047e-03,440,441,0,571,571,0,34.5,0.0,0.0,0,0,0,0,0.0
SRR5868539,131640,0,131640,1,131640,0,131640,0,0,0,0,0,28,0,0,24765412,24765412,0,24765412,24578634,0,0,114191,4.645946e-03,188,188,0,190,190,0,40.0,0.0,0.0,0,0,0,0,0.0
SRR5868540,24983,0,24983,1,24983,0,24983,0,0,0,0,0,16,0,0,5330806,5330806,0,5330806,5286832,0,0,37584,7.108983e-03,213,213,0,285,285,0,40.0,0.0,0.0,0,0,0,0,0.0
SRR304680,4181,0,4181,1,4181,0,4181,0,0,0,0,0,4,0,0,1726977,1726977,0,1726977,1681004,0,0,12730,7.572855e-03,413,413,0,594,594,0,33.1,0.0,0.0,0,0,0,0,0.0
